epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1554.21,0.6538,0.38646,0.79797,0.80368,0.92924,0.97669,0.76533,0.74151,0.54726,0.77988,2.576e-05,2.576e-05,2.576e-05
90,1570.83,0.65721,0.38192,0.79505,0.81005,0.93651,0.97661,0.76938,0.72992,0.52611,0.77967,2.378e-05,2.378e-05,2.378e-05
91,1588.75,0.64193,0.37163,0.79297,0.77722,0.9391,0.93965,0.73315,0.74263,0.54424,0.77934,2.18e-05,2.18e-05,2.18e-05
92,1605.89,0.62226,0.35866,0.79884,0.75874,0.9446,0.94035,0.71456,0.75359,0.54731,0.78116,1.982e-05,1.982e-05,1.982e-05
93,1622.67,0.60473,0.34187,0.78876,0.7419,0.94881,0.95633,0.74085,0.72353,0.53774,0.7778,1.784e-05,1.784e-05,1.784e-05
94,1639.46,0.59438,0.34208,0.79297,0.75942,0.95353,0.95835,0.74267,0.74524,0.52023,0.78065,1.586e-05,1.586e-05,1.586e-05
95,1656.26,0.58663,0.34648,0.78266,0.75734,0.95046,0.957,0.74111,0.75427,0.53355,0.78142,1.388e-05,1.388e-05,1.388e-05
96,1673.07,0.59237,0.34113,0.79373,0.77236,0.94353,0.9583,0.74058,0.72828,0.53513,0.77893,1.19e-05,1.19e-05,1.19e-05
97,1689.86,0.58274,0.34029,0.79023,0.76267,0.95117,0.95845,0.73612,0.74782,0.53766,0.78062,9.92e-06,9.92e-06,9.92e-06
98,1707.03,0.57906,0.33883,0.79305,0.77596,0.94943,0.9575,0.73703,0.75136,0.54031,0.78245,7.94e-06,7.94e-06,7.94e-06
99,1725.37,0.58582,0.33495,0.78825,0.83313,0.89793,0.95877,0.74112,0.74459,0.53518,0.78134,5.96e-06,5.96e-06,5.96e-06
100,1742.79,0.59031,0.33805,0.79498,0.77797,0.9469,0.95885,0.74532,0.73082,0.53427,0.77967,3.98e-06,3.98e-06,3.98e-06
