               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  87,              1.3593,               1.023,              1.0603,             0.77311,             0.84148,             0.93117,              0.7059,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,               1.306,              1.0172,              1.0691,             0.72781,             0.88401,             0.93788,              0.7156,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.3092,             0.99997,              1.0479,             0.80075,             0.85134,             0.93543,             0.70179,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.3021,              1.0049,              1.0551,             0.79255,             0.84649,              0.9473,             0.71794,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.2886,             0.98484,               1.054,             0.81281,              0.8213,             0.94562,             0.71103,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.3101,              1.0065,              1.0528,             0.85911,             0.81574,             0.95318,             0.72848,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.2644,             0.93923,               1.041,             0.76265,             0.87828,             0.94172,             0.72111,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.3106,             0.98035,              1.0513,             0.75973,              0.8818,             0.94645,             0.72365,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.2804,             0.96485,               1.045,             0.86497,              0.7835,             0.94743,             0.73338,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,               1.278,             0.94997,              1.0464,             0.76975,             0.85936,             0.94354,             0.71569,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.2545,             0.95567,              1.0493,             0.78538,             0.84408,             0.94664,             0.72317,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,               1.284,             0.98425,              1.0614,             0.79141,             0.87348,             0.94036,             0.70726,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.2658,              0.9531,              1.0508,             0.78879,             0.87619,             0.94265,             0.72051,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
